ages   ,list_price            ,num_reviews ,piece_count ,play_star_rating ,set_id  ,review_difficulty ,set_name                                                  ,star_rating ,theme_name                            ,val_star_rating ,country
12-Jun ,  60.93899999999999   ,          3 ,        307 ,             4.7 ,  41150 ,Easy              ,Vaiana's Ocean Voyage                                     ,        4.7 ,Disney™                               ,            4.7 ,FI
12-Jun ,  60.93899999999999   ,          4 ,        350 ,             4.3 ,  41146 ,Average           ,Cinderella's Enchanted Evening                            ,        4.8 ,Disney™                               ,            4.3 ,FI
12-Jun ,  60.93899999999999   ,          3 ,        322 ,             4.7 ,  41152 ,Easy              ,Sleeping Beauty's Fairytale Castle                        ,        4.3 ,Disney™                               ,            4.3 ,FI
7-Apr  ,  48.739              ,          2 ,        191 ,             5   ,  10744 ,Average           ,Thunder Hollow Crazy 8 Race                               ,        5   ,Juniors                               ,            4.5 ,FI
12-May ,  42.638999999999996  ,          2 ,        222 ,             5   ,  41145 ,Average           ,Ariel and the Magical Spell                               ,        5   ,Disney™                               ,            4.5 ,FI
7-Apr  ,  36.539              ,          2 ,        116 ,             5   ,  10743 ,Easy              ,Smokey's Garage                                           ,        4.5 ,Juniors                               ,            5   ,FI
7-Apr  ,  36.539              ,          3 ,         94 ,             4.7 ,  10736 ,Average           ,Anna & Elsa's Frozen Playground                           ,        4.7 ,Juniors                               ,            4.7 ,FI
12-May ,  30.439              ,            ,        125 ,                 ,  41155 ,                  ,Elsa's Market Adventure                                   ,            ,Disney™                               ,                ,FI
7-Apr  ,  30.439              ,          2 ,         95 ,             2.5 ,  10742 ,Easy              ,Willy's Butte Speed Training                              ,        3   ,Juniors                               ,            3   ,FI
12-May ,  21.899              ,          1 ,        104 ,             5   ,  41151 ,Average           ,Mulan's Training Day                                      ,        5   ,Disney™                               ,            5   ,FI
7-Apr  ,  15.799000000000001  ,          8 ,         47 ,             3.9 ,  10730 ,Very Easy         ,Lightning McQueen Speed Launcher                          ,        4   ,Juniors                               ,            3.9 ,FI
7-Apr  ,  15.799000000000001  ,          3 ,         62 ,             4.3 ,  10733 ,Easy              ,Mater's Junkyard                                          ,        4.7 ,Juniors                               ,            5   ,FI
7-Apr  ,  15.799000000000001  ,          1 ,         75 ,             5   ,  10732 ,                  ,Guido and Luigi's Pit Stop                                ,        5   ,Juniors                               ,            5   ,FI
7-Apr  ,  15.799000000000001  ,          3 ,         59 ,             4.3 ,  10731 ,Easy              ,Cruz Ramirez Race Simulator                               ,        5   ,Juniors                               ,            4.3 ,FI
6+     ,  15.799000000000001  ,          1 ,        115 ,             4   ,  40307 ,Easy              ,Castle Interior Kit                                       ,        5   ,Disney™                               ,            4   ,FI
6+     ,  15.799000000000001  ,          1 ,         80 ,             5   ,  40388 ,Easy              ,Mini-Doll Dress-Up Kit                                    ,        5   ,Disney™                               ,            5   ,FI
5-Feb  ,  42.638999999999996  ,            ,         22 ,                 ,  10880 ,                  ,T. rex Tower                                              ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  30.439              ,          1 ,         24 ,                 ,  10879 ,                  ,Gentle Giants Petting Zoo                                 ,        5   ,DUPLO®                                ,                ,FI
5-Feb  , 158.539              ,         22 ,        134 ,             4.6 ,  10508 ,Average           ,Deluxe Train Set                                          ,        4.1 ,DUPLO®                                ,            3.7 ,FI
5-Feb  , 146.339              ,          8 ,        163 ,             4.9 ,  10805 ,Easy              ,Around the World                                          ,        5   ,DUPLO®                                ,            4.8 ,FI
5-Feb  , 109.73899999999999   ,          1 ,        106 ,             4   ,  10840 ,Easy              ,Big Fair                                                  ,        5   ,DUPLO®                                ,            4   ,FI
5-Feb  ,  91.439              ,          1 ,         67 ,             5   ,  10813 ,Average           ,Big Construction Site                                     ,        5   ,DUPLO®                                ,            5   ,FI
5-Feb  ,  91.439              ,            ,         98 ,                 ,  10836 ,                  ,Town Square                                               ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  91.439              ,            ,        104 ,                 ,  10869 ,                  ,Farm Adventures                                           ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  79.23899999999999   ,         11 ,         52 ,             4.9 ,  10507 ,Easy              ,My First Train Set                                        ,        4.7 ,DUPLO®                                ,            4.4 ,FI
5-Feb  ,  73.139              ,          3 ,         28 ,             5   ,  10846 ,Easy              ,Flo's Café                                                ,        5   ,DUPLO®                                ,            4.5 ,FI
5-Feb  ,  67.039              ,            ,         61 ,                 ,  10841 ,                  ,Fun Family Fair                                           ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  67.039              ,            ,         71 ,                 ,  10864 ,                  ,Large Playground Brick Box                                ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  60.93899999999999   ,            ,         69 ,                 ,  10835 ,                  ,Family House                                              ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  60.93899999999999   ,            ,         70 ,                 ,  10844 ,                  ,Minnie Mouse Bow-tique                                    ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  48.739              ,          3 ,         48 ,             5   ,  10827 ,Very Easy         ,Mickey & Friends Beach House                              ,        5   ,DUPLO®                                ,            5   ,FI
5-Feb  ,  48.739              ,            ,        120 ,                 ,  10854 ,                  ,LEGO® DUPLO® Creative Box                                 ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  42.638999999999996  ,          1 ,         31 ,             5   ,  10857 ,Easy              ,Piston Cup Race                                           ,        5   ,DUPLO®                                ,            4   ,FI
5-Feb  ,  42.638999999999996  ,          3 ,         28 ,             4.3 ,  10823 ,Average           ,Batwing Adventure                                         ,        4.3 ,DUPLO®                                ,            3.3 ,FI
1½-3   ,  42.638999999999996  ,            ,         34 ,                 ,  10863 ,                  ,My First Animal Brick Box                                 ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  42.638999999999996  ,            ,         38 ,                 ,  10876 ,                  ,Spider-Man & Hulk Adventures                              ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  42.638999999999996  ,            ,         59 ,                 ,  10868 ,                  ,Farm Pony Stable                                          ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  42.638999999999996  ,          1 ,         37 ,             5   ,  10878 ,Very Easy         ,Rapunzel´s Tower                                          ,        5   ,DUPLO®                                ,            5   ,FI
1½-5   ,  42.638999999999996  ,          4 ,         65 ,             4.8 ,  10572 ,Very Easy         ,LEGO® DUPLO® All-in-One-Box-of-Fun                        ,        5   ,DUPLO®                                ,            4   ,FI
5-Feb  ,  36.539              ,          2 ,         26 ,             5   ,  10592 ,Very Easy         ,Fire Truck                                                ,        5   ,DUPLO®                                ,            5   ,FI
5-Feb  ,  36.539              ,          4 ,         24 ,             5   ,  10597 ,Easy              ,Mickey & Minnie Birthday Parade                           ,        4.8 ,DUPLO®                                ,            4.7 ,FI
5-Feb  ,  36.539              ,          2 ,         57 ,             5   ,  10834 ,Average           ,Pizzeria                                                  ,        5   ,DUPLO®                                ,            5   ,FI
5-Feb  ,  36.539              ,            ,         32 ,                 ,  10839 ,                  ,Shooting Gallery                                          ,            ,DUPLO®                                ,                ,FI
1½-5   ,  36.539              ,            ,         70 ,                 ,  10865 ,                  ,Fun Creations                                             ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  36.539              ,            ,         29 ,                 ,  10871 ,                  ,Airport                                                   ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  30.439              ,          2 ,         26 ,             5   ,  10812 ,Average           ,Truck & Tracked Excavator                                 ,        5   ,DUPLO®                                ,            5   ,FI
5-Feb  ,  30.439              ,          2 ,         39 ,             5   ,  10833 ,Average           ,Preschool                                                 ,        5   ,DUPLO®                                ,            5   ,FI
5-Feb  ,  30.439              ,            ,         26 ,                 ,  10867 ,                  ,Farmers' Market                                           ,            ,DUPLO®                                ,                ,FI
1½-3   ,  30.439              ,          6 ,         24 ,             2.2 ,  10845 ,Average           ,My First Carousel                                         ,        2.2 ,DUPLO®                                ,            3.2 ,FI
5-Feb  ,  30.439              ,          1 ,         23 ,             5   ,  10856 ,Easy              ,Mater´s Shed                                              ,        5   ,DUPLO®                                ,            5   ,FI
5-Feb  ,  30.439              ,          1 ,         19 ,             3   ,  10877 ,                  ,Belle´s Tea Party                                         ,        4   ,DUPLO®                                ,            4   ,FI
1½-3   ,  24.339000000000002  ,          5 ,         23 ,             5   ,  10847 ,Easy              ,Number Train                                              ,        5   ,DUPLO®                                ,            4.8 ,FI
1½-5   ,  24.339000000000002  ,          6 ,         36 ,             4.8 ,  10816 ,Easy              ,My First Cars and Trucks                                  ,        5   ,DUPLO®                                ,            4.7 ,FI
1½-3   ,  24.339000000000002  ,            ,         80 ,                 ,  10848 ,                  ,My First Bricks                                           ,            ,DUPLO®                                ,                ,FI
1½-5   ,  24.339000000000002  ,            ,         29 ,                 ,  10818 ,                  ,My First Truck                                            ,            ,DUPLO®                                ,                ,FI
1½-3   ,  24.339000000000002  ,            ,         28 ,                 ,  10861 ,                  ,My First Emotions                                         ,            ,DUPLO®                                ,                ,FI
5-Feb  ,  21.899              ,            ,         15 ,                 ,  10843 ,                  ,Mickey Racer                                              ,            ,DUPLO®                                ,                ,FI
